level,movelimit,completionrate
1,1000,1.0
2,30,0.9895280718075076
3,25,0.9993213828425096
4,25,0.9755164790486113
5,30,0.9112574172815137
6,30,0.7676561105931651
7,25,0.8939840529844875
8,35,0.877791936978684
9,30,0.8324601555175647
10,30,0.9223934162489945
11,35,0.7336296090549267
12,30,0.7864407141408859
13,30,0.8623367786289992
14,40,0.5970026500959518
15,35,0.9013220136433799
16,32,0.6331734547326776
17,35,0.9836263404733825
18,36,0.5616950730508211
19,35,0.591484195464597
20,45,0.5740750182701949
21,35,0.5405352829607535
22,35,0.5476289725547737
23,35,0.8632387918467559
24,37,0.4640793266128454
25,45,0.5922691032876467
26,42,0.8549653938875496
27,44,0.40600532214318613
28,40,0.5040251372205871
29,46,0.6069853639992396
30,50,0.6167636360127748
31,35,0.952225458182567
32,27,0.7832747456059205
33,35,0.3538489630271009
34,40,0.40589969699851897
35,45,0.47252604465234305
36,40,0.3275473436548808
37,50,0.6765307589379513
38,32,0.5124494573313471
39,38,0.48151164947539055
40,42,0.32243867283560085
41,40,0.8913173206027152
42,38,0.44438848316964663
43,39,0.35765832432056366
44,44,0.4320181620106199
45,37,0.3852851931403634
46,45,0.650969497930538
47,60,0.44516244559843665
48,40,0.3805022735411163
49,45,0.390041265474553
50,35,0.4290560517879929
51,35,0.4471912823193534
52,38,0.3460288499914476
53,40,0.4128110654747524
54,43,0.25886243319361085
55,38,0.2548521256931608
56,33,0.29077406294230757
57,44,0.5333226304910598
58,43,0.31864962989720386
59,50,0.3198988226979374
60,50,0.4734938664243526
61,35,0.9826629815033148
62,34,0.6266575663026521
63,55,0.6727779786190157
64,39,0.37284342417460686
65,37,0.25211424840180724
66,38,0.3789277236381809
67,40,0.2765740429571195
68,50,0.3125517537815817
69,41,0.28464385663988445
70,60,0.47703864322775497
71,35,0.4837442157332057
72,43,0.36638876364997974
73,45,0.3947596217871887
74,45,0.36375310529333077
75,42,0.3663964937093478
76,38,0.21314744828505336
77,32,0.21692678482203215
78,36,0.41113257558740285
79,41,0.2154616618855448
80,45,0.31467753113383873
81,35,0.8280288343904688
82,37,0.6838943073882833
83,40,0.3351513071505312
84,55,0.377175999120723
85,38,0.24031741204431153
86,45,0.5747585301485659
87,35,0.3748148021273134
88,42,0.5055223982986897
89,42,0.32733592006112266
90,43,0.2950727770085441
91,35,0.8789570962287152
92,50,0.3181706636921361
93,48,0.8086129631653732
94,36,0.33351909053275164
95,45,0.4427225922445144
96,28,0.3879533738912367
97,45,0.4199803752028058
98,37,0.19346241168756081
99,37,0.27823286092086524
100,39,0.16433005831404185
101,40,0.9497290722105496
102,30,0.4116047604070493
103,40,0.38398880799639207
104,37,0.24854028564727376
105,35,0.5156335916020994
106,40,0.2609760341283292
107,36,0.30464246056494426
108,35,0.3014578700271806
109,37,0.28185399834413455
110,49,0.16849191983644343
111,35,0.7264469482878849
112,34,0.5221022450777951
113,34,0.24647446042933094
114,38,0.252422048077241
115,38,0.38244564941975373
116,35,0.13572483600503932
117,40,0.7859504297822036
118,40,0.3420671932141862
119,40,0.681179010936924
120,41,0.17626717538818187
121,35,0.922280280563009
122,35,0.45169093582507236
123,25,0.5145920771922975
124,34,0.3167181745057364
125,38,0.21665860580032748
126,37,0.20005531933356474
127,55,0.45326248978218014
128,43,0.22819686142901136
129,40,0.4016641940269625
130,40,0.46307143846919363
131,30,0.20869181957048066
132,41,0.15623505023122308
133,44,0.34157878707123007
134,35,0.3872769555106388
135,42,0.212196099785183
136,40,0.23317735142723445
137,35,0.32033433842600656
138,35,0.22879632666448016
139,41,0.2374814784744352
140,40,0.16734081354786773
141,34,0.963953488372093
142,43,0.46504013097472346
143,40,0.3051026057759283
144,36,0.31943870070303393
145,38,0.1604339988568693
146,45,0.40577610469189757
147,36,0.3672514619883041
148,47,0.29105755756621626
149,46,0.23898714007621252
150,42,0.3554074985677608
151,34,0.23523597191858409
152,50,0.1982169990353637
153,55,0.37289238461626273
154,42,0.17988544856527164
155,45,0.32010174118848633
156,50,0.36651723428100913
157,34,0.16612535931608616
158,35,0.4336433371800964
159,44,0.20287628335753022
160,40,0.43284541522143805
161,30,0.9753916331552728
162,32,0.38021130955999466
163,33,0.1591156588382749
164,45,0.12812751542795814
165,44,0.6188364256110315
166,43,0.3308330929256018
167,35,0.17708546354346213
168,46,0.23544139536658906
169,42,0.5492824143200942
170,43,0.37967278135845317
171,32,0.2270389922563174
172,50,0.18698866921742555
173,35,0.3479694290424097
174,47,0.26938099497816786
175,50,0.24928225335428303
176,28,0.35764826811369016
177,28,0.27859952568266455
178,35,0.19778848692896753
179,26,0.2502550686723349
180,35,0.28278093856199166
181,35,0.5265770823100133
182,30,0.23934903738371285
183,45,0.14050036078958553
184,49,0.22819721781436522
185,42,0.1611576801087449
186,42,0.7007636130075886
187,41,0.4144214612665855
188,42,0.31958969561295064
189,38,0.31833798463402974
190,39,0.19064070777276484
191,38,0.1592309793257413
192,40,0.4264441245276228
193,47,0.3153161316630043
194,38,0.22120965640325038
195,50,0.24156726780339294
196,41,0.20608577424408123
197,42,0.19746384839219508
198,38,0.17365064390439328
199,30,0.1574648384628965
200,51,0.17972791209673641
